iter	Accuracy	Logloss
0	0.8692022263	0.6828693792
1	0.8962585034	0.6723216493
2	0.8962585034	0.6620845713
3	0.8964131107	0.6521504256
4	0.8964131107	0.6425115003
5	0.8962585034	0.6338162921
6	0.8964131107	0.6255591514
7	0.8964131107	0.6172252967
8	0.8964131107	0.6085389978
9	0.8964131107	0.6001149164
10	0.8964131107	0.5919456474
11	0.8964131107	0.5845255545
12	0.8964131107	0.5790827121
13	0.8964131107	0.5722748742
14	0.8964131107	0.5648885064
15	0.8964131107	0.5583082735
16	0.8964131107	0.5517506921
17	0.8964131107	0.5454516645
18	0.8964131107	0.5393305113
19	0.8964131107	0.5333591103
20	0.8964131107	0.5273682861
21	0.8968769326	0.5216657283
22	0.8968769326	0.5163226063
23	0.8968769326	0.5110184922
24	0.898113791	0.506602366
25	0.9018243661	0.502085653
26	0.898113791	0.4964824728
27	0.9018243661	0.4915275655
28	0.9018243661	0.4862134518
29	0.9021335807	0.4815056742
30	0.9021335807	0.477022443
31	0.9021335807	0.4726733625
32	0.9021335807	0.4687127037
33	0.9021335807	0.4648312568
34	0.9027520099	0.461062256
35	0.9027520099	0.4575611218
36	0.9027520099	0.4542505148
37	0.9027520099	0.4498034406
38	0.9027520099	0.4461150073
39	0.9027520099	0.4431902641
40	0.9027520099	0.4395065173
41	0.9027520099	0.436880128
42	0.9027520099	0.433108409
43	0.9025974026	0.430012955
44	0.9027520099	0.4275020259
45	0.9029066172	0.4251448847
46	0.902288188	0.422614622
47	0.9029066172	0.4188441382
48	0.9025974026	0.415713513
49	0.9024427953	0.4129116463
50	0.9024427953	0.4099181641
51	0.9025974026	0.4072602286
52	0.9013605442	0.4048287935
53	0.9013605442	0.4016899558
54	0.9012059369	0.3993563846
55	0.9025974026	0.3959301325
56	0.9103277675	0.3932071796
57	0.9098639456	0.391041588
58	0.9098639456	0.3887319894
59	0.9098639456	0.3866168267
60	0.9098639456	0.3840857647
61	0.9098639456	0.3820153506
62	0.9098639456	0.3794840016
63	0.9098639456	0.3777221724
64	0.9098639456	0.3756922927
65	0.9101731602	0.3738674077
66	0.9101731602	0.3710946116
67	0.9103277675	0.3689514257
68	0.9106369821	0.3668725169
69	0.9106369821	0.3642532542
70	0.9106369821	0.3626485855
71	0.9106369821	0.3606462011
72	0.9106369821	0.3583811985
73	0.9106369821	0.3562870276
74	0.9106369821	0.3546698765
75	0.9106369821	0.3521507139
76	0.9106369821	0.3504575627
77	0.9106369821	0.3486006391
78	0.9106369821	0.3465859469
79	0.9104823748	0.3450855468
80	0.9104823748	0.3436285278
81	0.9104823748	0.3419548468
82	0.9104823748	0.3402174529
83	0.911100804	0.3382182401
84	0.911100804	0.3362794855
85	0.911100804	0.3349347397
86	0.9112554113	0.3330526216
87	0.9120284477	0.3317792217
88	0.9114100186	0.3306980625
89	0.9120284477	0.3295401254
90	0.9120284477	0.3276189444
91	0.9145021645	0.3259582699
92	0.9151205937	0.3244710769
93	0.915275201	0.3232779861
94	0.9151205937	0.3221239444
95	0.915275201	0.3205841999
96	0.915275201	0.3192653283
97	0.915275201	0.3175046087
98	0.915275201	0.3164066156
99	0.915275201	0.3153337757
100	0.915275201	0.3143267155
101	0.9154298083	0.3131968743
102	0.9154298083	0.311909554
103	0.9154298083	0.310892279
104	0.9154298083	0.3099721927
105	0.9154298083	0.3090222354
106	0.9154298083	0.3077818533
107	0.9154298083	0.306536139
108	0.9154298083	0.3052868083
109	0.9154298083	0.3044318324
110	0.9154298083	0.3037323712
111	0.9154298083	0.3029476474
112	0.9154298083	0.3020247676
113	0.9157390229	0.3006230425
114	0.9163574521	0.2995573365
115	0.9157390229	0.2984273105
116	0.9157390229	0.2974999509
117	0.9158936302	0.296617343
118	0.9158936302	0.2959743961
119	0.9162028448	0.295338751
120	0.9160482375	0.2946184199
121	0.9160482375	0.293789729
122	0.9158936302	0.2930288794
123	0.9158936302	0.2922773659
124	0.9162028448	0.291613555
125	0.9158936302	0.2907769696
126	0.916821274	0.2894404917
127	0.9166666667	0.2887983178
128	0.9162028448	0.2878068133
129	0.9162028448	0.2867686288
130	0.9162028448	0.2861892044
131	0.9160482375	0.2854834996
132	0.9162028448	0.2844833656
133	0.9162028448	0.2836512243
134	0.9162028448	0.2830375652
135	0.9162028448	0.2820978781
136	0.9162028448	0.2809988142
137	0.9162028448	0.2800599679
138	0.9162028448	0.2794375671
139	0.9162028448	0.2785884837
140	0.9162028448	0.2779449103
141	0.9162028448	0.277061223
142	0.9162028448	0.2760372124
143	0.9160482375	0.2753383979
144	0.9162028448	0.2748239841
145	0.9192949907	0.2739793944
146	0.9192949907	0.2735784285
147	0.9191403834	0.2728783065
148	0.9191403834	0.2721532125
149	0.9191403834	0.2716807797
150	0.9192949907	0.271014109
151	0.9192949907	0.2704617416
152	0.9192949907	0.2694567477
153	0.919449598	0.2687622429
154	0.9199134199	0.2679579843
155	0.9192949907	0.2675276046
156	0.919449598	0.2668229441
157	0.9196042053	0.2663761472
158	0.9197588126	0.2657623394
159	0.9197588126	0.2653151057
160	0.9197588126	0.2646946638
161	0.9197588126	0.264186308
162	0.9197588126	0.26368456
163	0.9197588126	0.2631408519
164	0.9196042053	0.2627019776
165	0.9196042053	0.2622945787
166	0.9196042053	0.261853626
167	0.9197588126	0.2609996477
168	0.9197588126	0.2604769213
169	0.9196042053	0.2598547309
170	0.9196042053	0.2592423963
171	0.9197588126	0.2587495967
172	0.9197588126	0.2582097798
173	0.9203772418	0.2575164397
174	0.9202226345	0.2571554823
175	0.9202226345	0.2568121629
176	0.9203772418	0.2564452299
177	0.9202226345	0.255988858
178	0.9200680272	0.2555439238
179	0.9205318491	0.2549361594
180	0.9205318491	0.2543170799
181	0.9203772418	0.2537990568
182	0.9202226345	0.253401484
183	0.9206864564	0.2528273664
184	0.9206864564	0.2523522068
185	0.9205318491	0.2518846945
186	0.9205318491	0.2516163991
187	0.9205318491	0.2512802902
188	0.9206864564	0.2506632178
189	0.9206864564	0.2502846385
190	0.9206864564	0.2497227282
191	0.9205318491	0.2493968353
192	0.9205318491	0.2490409768
193	0.9205318491	0.2486965489
194	0.9206864564	0.2481918259
195	0.9206864564	0.2478381056
196	0.9206864564	0.2475456239
197	0.9205318491	0.2472184665
198	0.9202226345	0.2468929092
199	0.9202226345	0.2463732018
200	0.9202226345	0.246018702
201	0.9202226345	0.2456156493
202	0.9202226345	0.2452777647
203	0.9202226345	0.2449575781
204	0.9202226345	0.2446569996
205	0.9202226345	0.2443127119
206	0.9205318491	0.2437715166
207	0.9203772418	0.2432489123
208	0.920995671	0.2427841076
209	0.9206864564	0.2422829425
210	0.9208410637	0.2419307796
211	0.9208410637	0.2415234978
212	0.920995671	0.2412666181
213	0.920995671	0.240893026
214	0.920995671	0.2405426465
215	0.920995671	0.240275011
216	0.9208410637	0.2399634794
217	0.920995671	0.2396859769
218	0.920995671	0.2394110854
219	0.9211502783	0.2391769745
220	0.9211502783	0.2388332213
221	0.9211502783	0.2384663908
222	0.9216141002	0.2381032357
223	0.9216141002	0.2378472193
224	0.9216141002	0.2374464186
225	0.9216141002	0.2370836042
226	0.9216141002	0.2366258048
227	0.9217687075	0.236344846
228	0.9216141002	0.2359577179
229	0.9217687075	0.2357231171
230	0.9217687075	0.2354063333
231	0.9217687075	0.2350626775
232	0.9219233148	0.2344762946
233	0.9219233148	0.2341334053
234	0.9219233148	0.233822757
235	0.9217687075	0.233524632
236	0.9219233148	0.2330816182
237	0.9219233148	0.2328549627
238	0.9219233148	0.2325558599
239	0.9219233148	0.2323009666
240	0.9219233148	0.2320509933
241	0.9219233148	0.2318939349
242	0.9219233148	0.2316598267
243	0.9217687075	0.2314214675
244	0.9217687075	0.2311040041
245	0.9217687075	0.2308117293
246	0.9217687075	0.2305700597
247	0.9226963513	0.2303735389
248	0.9228509586	0.2300560876
249	0.9231601732	0.2298809747
250	0.9233147805	0.229632394
251	0.9228509586	0.2293898459
252	0.9231601732	0.2290343192
253	0.9230055659	0.228781474
254	0.9230055659	0.2284655966
255	0.9231601732	0.2282524035
256	0.9230055659	0.2277645431
257	0.9233147805	0.2275586474
258	0.9233147805	0.2273206859
259	0.9233147805	0.2270636587
260	0.9234693878	0.226870493
261	0.9234693878	0.226691916
262	0.9234693878	0.2265136591
263	0.9236239951	0.2263171435
264	0.9236239951	0.2260400579
265	0.9234693878	0.2257521873
266	0.9236239951	0.2255519353
267	0.9243970315	0.2253504812
268	0.9243970315	0.2251418064
269	0.9236239951	0.2249473559
270	0.9236239951	0.22472689
271	0.9243970315	0.2245360194
272	0.9265615337	0.224304219
273	0.925170068	0.2240464048
274	0.9242424242	0.2237761186
275	0.9250154607	0.2236033615
276	0.9262523191	0.2235014063
277	0.9265615337	0.2233509372
278	0.9256338899	0.223144669
279	0.9264069264	0.2228617774
280	0.9264069264	0.2227304191
281	0.926716141	0.22256913
282	0.926716141	0.2224214851
283	0.926716141	0.2222644535
284	0.9265615337	0.2220682994
285	0.926716141	0.2216550436
286	0.9265615337	0.2214387173
287	0.926716141	0.2212444852
288	0.926716141	0.2210915085
289	0.926716141	0.2208990881
290	0.926716141	0.2207168329
291	0.926716141	0.2204638175
292	0.926716141	0.2202462221
293	0.926716141	0.2200660291
294	0.9265615337	0.2198959749
295	0.9265615337	0.2197145365
296	0.9265615337	0.2195338913
297	0.926716141	0.219326729
298	0.9268707483	0.2190938696
299	0.9268707483	0.2189041925
300	0.9270253556	0.2186985611
301	0.9270253556	0.2184536008
302	0.9270253556	0.2182824405
303	0.9270253556	0.2181348615
